Connector Type,कनेक्टर प्रकार
LDAP Not Installed,LDAP स्थापित नहीं है
Dropbox Access Key,ड्रॉपबॉक्स एक्सेस की
Search for anything,कुछ भी खोजो
Table Field,टेबल फील्ड
CSV,सीएसवी
Set Only Once,केवल एक बार सेट करें
We have received a request for deletion of {0} data associated with: {1},हमें {0} से जुड़े डेटा को हटाने के लिए अनुरोध मिला है: {1}
This report was generated {0}.,यह रिपोर्ट {0} जेनरेट की गई थी।
Document Follow Notification,दस्तावेज़ का पालन करें अधिसूचना
Fieldname,कार्यक्षेत्र नाम
FavIcon,FavIcon
Will be used in url (usually first name).,Url में उपयोग किया जाएगा (आमतौर पर पहला नाम)।
Sum of {0},{0} का योग
Plan Name,योजना का नाम
No Label,कोई लेबल नहीं
Use POST,POST का उपयोग करें
Region,क्षेत्र
"Use a few words, avoid common phrases.","कुछ शब्दों का प्रयोग करें, सामान्य वाक्यांशों से बचें।"
Save API Secret: ,सेव एपीआई सीक्रेट:
"If these instructions where not helpful, please add in your suggestions on GitHub Issues.","यदि ये निर्देश जहां सहायक नहीं हैं, तो कृपया GitHub मुद्दों पर अपने सुझावों में जोड़ें।"
folder-close,फ़ोल्डर बंद
Pull Update,अद्यतन खींचो
merged {0} into {1},{0} को {1} में मिला दिया
