Connector Type,コネクタの種類
Not enough permission to see links,リンクを表示するための十分な権限がありません
Add / Update,追加/更新
Please correct the,修正してください
Top Bar Item,トップバー項目
Role Permissions Manager,ロールパーミッションマネージャ
There were errors. Please report this.,エラーがありました。これを報告してください。
Female,女性
OTP Issuer Name,OTP発行者名
Add to To Do,にする
Ref DocType,Ref DocType
Permission Error,許可エラー
Create and manage newsletter,ニュースレターの作成と管理
Repeat Till,まで繰り返す
File not attached,添付されていないファイル
changed value of {0},値{0}を変更しました
Create New,新しく作る
{0} is required,{0}が必要です
Custom Fields can only be added to a standard DocType.,カスタムフィールドは標準のDocTypeにのみ追加できます。
Standard roles cannot be disabled,標準の役割を無効にすることはできません
Checksum Version,チェックサムバージョン
Category Description,カテゴリー説明
Options must be a valid DocType for field {0} in row {1},オプションは、行{1}のフィールド{0}に対して有効なDocTypeでなければなりません
Next actions,次の行動
"Filter must have 4 values (doctype, fieldname, operator, value): {0}",フィルターは4つの値（Doctype、fieldname、operator、value）を持つ必要があります：{0}
Domain,ドメイン
Karma,カルマ
Rounded Corners,丸い角
Remote ID,リモートID
Shared with everyone,みんなと共有
Disabled,無効
Cannot delete {0},{0}を削除できません
HTML,HTML
Linked With,とリンク
Name Case,名前ケース
Error in Notification: {},通知エラー：{}
Gateway Settings,ゲートウェイ設定
Module Not Found,モジュールが見つかりません
Custom Role,カスタムロール
View Settings,設定を見る
JavaScript,JavaScript
You can't set 'Options' for field {0},フィールド{0}に &#39;オプション&#39;を設定することはできません
Disable Prepared Report,作成済みレポートを無効にする
Export All {0} rows?,すべての{0}行をエクスポートしますか？
star-empty,星空
Created On,作成日
Half Day,半日
Default Sending,デフォルト送信
View document,文書を見る
Notify if unreplied for (in mins),未回答の場合は通知する（分）
arrow-left,左矢印
Starts on,で始まる
Set Number of Backups,バックアップ数の設定
Link Expired,リンク期限切れ
Incorrect value: {0} must be {1} {2},誤った値：{0}は{1} {2}でなければなりません
Yandex.Mail,Yandex.Mail
Edit Auto Email Report Settings,自動電子メールレポート設定の編集
Please set filters,フィルタを設定してください
Delete this record to allow sending to this email address,このメールアドレスへの送信を許可するには、このレコードを削除してください
Note Seen By,から見たメモ
arrow-up,上矢印
Social,ソーシャル
Custom Fields cannot be added to core DocTypes.,カスタムフィールドはコアDocTypeに追加できません。
Printing,印刷
Direct,直接
Send unsubscribe message in email,購読解除メッセージを電子メールで送信する
Ignore attachments over this size,このサイズを超える添付ファイルを無視する
briefcase,ブリーフケース
The resource you are looking for is not available,探しているリソースは利用できません
Heading,見出し
** Failed: {0} to {1}: {2},**失敗：{0}から{1}：{2}
File too big,ファイルが大きすぎます
Select All,すべて選択
Is,です
Data Migration,データ移行
Reset,リセット
Email Addresses,メールアドレス
Allow saving if mandatory fields are not filled,必須フィールドが入力されていない場合は保存を許可
The first user will become the System Manager (you can change this later).,最初のユーザーがシステムマネージャになります（これは後で変更できます）。
Chat,チャット
Email Domain,メールドメイン
ap-south-1,ap-south-1
Import Status,インポート状況
Pages in Desk (place holders),机の中のページ（プレースホルダー）
hdd,HDD
Visit,訪問
"LDAP Search String needs to end with a placeholder, eg sAMAccountName={0}",LDAP検索文字列はプレースホルダで終わる必要があります。例えばsAMAccountName = {0}
Navbar Style,ナビゲーションバーのスタイル
Track Seen,見たトラック
Page Name,ページ名
Knowledge Base Contributor,知識ベース投稿者
This document is currently queued for execution. Please try again,この文書は現在実行待ちになっています。もう一度やり直してください
Total,合計
Property,物件
Client Credentials,クライアント資格情報
Ignored: {0} to {1},無視されます：{0}〜{1}
Logged in,ログインしました
Email Account added multiple times,メールアカウントが複数回追加されました
eu-west-2,東西2
Check Request URL,リクエストURLを確認
About,約
Custom Translations,カスタム翻訳
Sr,Sr
"Language, Date and Time settings",言語、日付と時刻の設定
none of,どれも
