Connector Type,Type de connecteur
Auto Name,Nom automatique
Select Attachments,Sélectionnez les pièces jointes
Please set a printer mapping for this print format in the Printer Settings,Veuillez définir un mappage d&#39;imprimante pour ce format d&#39;impression dans les paramètres de l&#39;imprimante.
Percent,Pour cent
No {0} found,Aucun {0} trouvé
Country Name,Nom du pays
Import Data from CSV / Excel files.,Importer des données à partir de fichiers CSV / Excel.
Version Updated,Version mise à jour
Allocated To,Attribué à
Keep track of all update feeds,Gardez une trace de tous les flux de mise à jour
Email Sync Option,Option de synchronisation de messagerie
"The task {0}, that you assigned to {1}, has been closed.","La tâche {0}, que vous avez affectée à {1}, a été fermée."
Client URLs,URL du client
In Progress,En cours
Links,Liens
Email Flag Queue,File d&#39;attente de drapeau d&#39;email
Enable Automatic Backup,Activer la sauvegarde automatique
{0} appreciation point for {1} {2},{0} point d&#39;appréciation pour {1} {2}
envelope,enveloppe
Administrator,Administrateur
Has Role,A un rôle
If non standard port (e.g. 587),Si port non standard (par exemple 587)
No matching records. Search something new,Aucun enregistrement correspondant. Rechercher quelque chose de nouveau
System Page,Page système
Note: By default emails for failed backups are sent.,"Remarque: Par défaut, les emails pour les sauvegardes ayant échoué sont envoyés."
Custom DocPerm,DocPerm personnalisé
Doctype to Assign Tags,Doctype à affecter des balises
Warehouse,Entrepôt
Dropbox Setup,Configuration de Dropbox
Zero,Zéro
Add a New Role,Ajouter un nouveau rôle
{0} already unsubscribed for {1} {2},{0} déjà désabonné pour {1} {2}
Editable Grid,Grille éditable
Export Data,Exporter des données
Enable / Disable Domains,Activer / désactiver les domaines
Website Slideshow,Diaporama de site Web
Icon,Icône
Special Characters are not allowed,Les caractères spéciaux ne sont pas autorisés
Remove Section,Supprimer la section
Go to the document,Aller au document
Change Label (via Custom Translation),Changer le libellé (via une traduction personnalisée)
Name not set via prompt,Nom non défini via une invite
Custom JS,JS personnalisé
Value,Valeur
Base Distinguished Name (DN),Nom distinctif de base (DN)
Timeline field must be a valid fieldname,Le champ de la timeline doit être un nom de champ valide
submitted this document,soumis ce document
magnet,aimant
Row Values Changed,Les valeurs de ligne ont été modifiées
Value Based On,Valeur basée sur
Search Term,Terme de recherche
Toggle Grid View,Basculer l&#39;affichage de la grille
Filter Data,Filtrer les données
Avatar,Avatar
A word by itself is easy to guess.,Un mot en soi est facile à deviner.
Desktop Icon already exists,L&#39;icône du bureau existe déjà
Invalid Email: {0},Email invalide: {0}
Save As,Enregistrer sous
Cannot update {0},Impossible de mettre à jour {0}
Email Unsubscribe,Email désabonnement
Monospace,Monospace
Set User Permissions,Définir les autorisations utilisateur
Created Custom Field {0} in {1},Champ personnalisé créé {0} sur {1}
Tuesday,Mardi
User Permission,Permission d&#39;utilisateur
Please Update SMS Settings,Veuillez mettre à jour les paramètres SMS
Comments and Communications will be associated with this linked document,Les commentaires et les communications seront associés à ce document lié
Attached To Name,Attaché au nom
Steps to verify your login,Étapes pour vérifier votre connexion
Room Type,Type de chambre
Google Analytics ID,Identifiant Google Analytics
{0} is not a raw printing format.,{0} n&#39;est pas un format d&#39;impression brut.
One Last Step,Une dernière étape
Restore,Restaurer
Example Email Address,Exemple d&#39;adresse e-mail
Open,Ouvrir
Check which Documents are readable by a User,Vérifier quels documents sont lisibles par un utilisateur
Root {0} cannot be deleted,La racine {0} ne peut pas être supprimée
Mobile Number,Numéro de portable
Invalid User Name or Support Password. Please rectify and try again.,Nom d&#39;utilisateur ou mot de passe d&#39;assistance invalide. Veuillez rectifier et réessayer.
Customize,Personnaliser
Year,Année
Communication Link,Lien de communication
Calculate,Calculer
"If you think this is unauthorized, please change the Administrator password.","Si vous pensez que cela n’est pas autorisé, veuillez changer le mot de passe de l’administrateur."
Current Status,Statut actuel
Post,Poster
Select atleast 1 record for printing,Sélectionnez au moins 1 enregistrement pour l&#39;impression
Assigned By,Assigné par
[Label]:[Field Type]/[Options]:[Width],[Libellé]: [Type de champ] / [Options]: [Largeur]
Ctrl+Enter to add comment,Ctrl + Entrée pour ajouter un commentaire
Field {0} is not selectable.,Le champ {0} n&#39;est pas sélectionnable.
Birth Date,Date de naissance
With Group Indentation,Avec retrait de groupe
Disable Count,Désactiver le compte
Email ID,Identifiant Email
Incorrect User or Password,Utilisateur ou mot de passe incorrect
Allow Rename,Autoriser le changement de nom
"Setup of top navigation bar, footer and logo.","Configuration de la barre de navigation supérieure, du pied de page et du logo."
{0}: Options required for Link or Table type field {1} in row {2},{0}: Options requises pour le champ de type Lien ou Table {1} dans la ligne {2}
Address Title is mandatory.,Le titre de l&#39;adresse est obligatoire.
Must specify a Query to run,Doit spécifier une requête à exécuter
Email Queue records.,Enregistrements de la file de courrier électronique.
Nothing to update,Rien à mettre à jour
Please enter values for GSuite Access Key and GSuite Access Secret,Veuillez saisir des valeurs pour GSuite Access Key et GSuite Access Secret.
Please enter valid mobile nos,Veuillez saisir un numéro de téléphone portable valide
Data,Les données
Your Country,Votre pays
This link has already been activated for verification.,Ce lien a déjà été activé pour vérification.
Enter folder name,Entrez le nom du dossier
Followed by,Suivi par
Enter python module or select connector type,Entrez le module python ou sélectionnez le type de connecteur
Block Modules,Modules de bloc
Revert Of,Revert de
Sign Up is disabled,L&#39;inscription est désactivée
Download Template,Télécharger le modèle
Value too big,Valeur trop grande
Image View,Vue d&#39;image
Document,Document
Custom Script,Script personnalisé
Please specify,Veuillez préciser
"Hint: Include symbols, numbers and capital letters in the password","Astuce: inclure des symboles, des chiffres et des lettres majuscules dans le mot de passe"
Sorry! Sharing with Website User is prohibited.,Pardon! Le partage avec l&#39;utilisateur du site Web est interdit.
{0} reverted your point on {1},{0} a inversé votre argument le {1}
&lt;head&gt; HTML,&lt;head&gt; HTML
This role update User Permissions for a user,Ce rôle met à jour les autorisations utilisateur pour un utilisateur
Theme,Thème
Show Sidebar,Afficher la barre latérale
Default Inbox,Boîte de réception par défaut
Invalid Login Token,Jeton de connexion invalide
First set the name and save the record.,Définissez d&#39;abord le nom et sauvegardez l&#39;enregistrement.
eye-open,les yeux ouverts
Web Link,Lien Web
App,App
Eg. smsgateway.com/api/send_sms.cgi,Par exemple. smsgateway.com/api/send_sms.cgi
camera,caméra
Please select Minimum Password Score,Veuillez sélectionner le mot de passe minimum
Please make sure that there are no empty columns in the file.,Assurez-vous qu&#39;il n&#39;y a pas de colonnes vides dans le fichier.
Select Module,Sélectionnez le module
Submitted,Soumis
The user from this field will be rewarded points,L&#39;utilisateur de ce champ recevra des points
Last Name,Nom de famille
1 hour ago,Il ya 1 heure
on_update_after_submit,on_update_after_submit
If you are updating/overwriting already created records.,Si vous mettez à jour / écrasez des enregistrements déjà créés.
View List,Afficher la liste
User can login using Email id or Mobile number,L&#39;utilisateur peut se connecter en utilisant son identifiant ou son numéro de portable
Refreshing,Rafraîchissant
"Enter keys to enable login via Facebook, Google, GitHub.","Entrez les clés pour permettre la connexion via Facebook, Google, GitHub."
Please select another payment method. Stripe does not support transactions in currency '{0}',Veuillez sélectionner un autre mode de paiement. Stripe ne prend pas en charge les transactions dans la devise &#39;{0}&#39;
Not enough permission to see links,Pas assez de permission pour voir les liens
Add / Update,Ajouter / mettre à jour
Please correct the,S&#39;il vous plaît corriger le
Top Bar Item,Article de barre supérieure
Role Permissions Manager,Gestionnaire d&#39;autorisations de rôle
There were errors. Please report this.,Il y avait des erreurs. S&#39;il vous plaît signaler ce.
Female,Femelle
OTP Issuer Name,Nom de l&#39;émetteur OTP
Add to To Do,Ajouter à faire
Ref DocType,Ref DocType
Permission Error,Erreur de permission
Create and manage newsletter,Créer et gérer une newsletter
Repeat Till,Répéter jusqu&#39;à
File not attached,Fichier non attaché
changed value of {0},valeur modifiée de {0}
Create New,Créer un nouveau
{0} is required,{0} est requis
Custom Fields can only be added to a standard DocType.,Les champs personnalisés ne peuvent être ajoutés qu&#39;à un DocType standard.
Standard roles cannot be disabled,Les rôles standard ne peuvent pas être désactivés
Checksum Version,Version du total de contrôle
Category Description,description de la catégorie
Next actions,Prochaines actions
"Filter must have 4 values (doctype, fieldname, operator, value): {0}","Le filtre doit avoir 4 valeurs (type de document, nom de champ, opérateur, valeur): {0}"
Domain,Domaine
Karma,Karma
Rounded Corners,Coins arrondis
Remote ID,ID à distance
Shared with everyone,Partagé avec tout le monde
Disabled,désactivé
Cannot delete {0},Impossible de supprimer {0}
HTML,HTML
Linked With,Lié à
Name Case,Nom Cas
Error in Notification: {},Erreur dans la notification: {}
Gateway Settings,Paramètres de la passerelle
Module Not Found,Module introuvable
Custom Role,Rôle personnalisé
View Settings,Paramètres d&#39;affichage
JavaScript,JavaScript
You can't set 'Options' for field {0},Vous ne pouvez pas définir &quot;Options&quot; pour le champ {0}.
Disable Prepared Report,Désactiver le rapport préparé
Export All {0} rows?,Exporter toutes les {0} lignes?
star-empty,étoile vide
Created On,Créé sur
Half Day,Demi-journée
Default Sending,Envoi par défaut
View document,Voir le document
Notify if unreplied for (in mins),Notifier si non répondu (en minutes)
arrow-left,flèche gauche
Starts on,Commence à
Set Number of Backups,Définir le nombre de sauvegardes
Link Expired,Le lien a expiré
Incorrect value: {0} must be {1} {2},Valeur incorrecte: {0} doit être {1} {2}
Yandex.Mail,Yandex.Mail
Edit Auto Email Report Settings,Modifier les paramètres du rapport d&#39;e-mail automatique
Please set filters,S&#39;il vous plaît définir des filtres
Delete this record to allow sending to this email address,Supprimer cet enregistrement pour permettre l&#39;envoi à cette adresse email
Note Seen By,Note vu par
arrow-up,flèche vers le haut
Social,Social
Custom Fields cannot be added to core DocTypes.,Les champs personnalisés ne peuvent pas être ajoutés aux DocTypes principaux.
