Connector Type,نوع اتصال
FavIcon,FavIcon
Will be used in url (usually first name).,خواهد شد در url (معمولا نام) استفاده می شود.
Sum of {0},مجموع {0}
Plan Name,نام برنامه
No Label,بدون برچسب
Use POST,از POST استفاده کنید
Region,منطقه
"Use a few words, avoid common phrases.",از چند کلمه استفاده کنید، عبارات رایج را فراموش نکنید.
Save API Secret: ,راز ذخیره راز ذخیره:
"If these instructions where not helpful, please add in your suggestions on GitHub Issues.",اگر این دستورالعمل ها مفید نیست، لطفا در پیشنهادات خود در مورد مسائل GitHub اضافه کنید.
folder-close,پوشه بستن
Pull Update,برداشت را بکشید
merged {0} into {1},ادغام {0} به {1}
Enter url parameter for receiver nos,پارامتر url برای گیرنده ns را وارد کنید
Syntax error in template,خطای نحوی در الگو
Please set filters value in Report Filter table.,لطفا مقدار فیلتر را در جدول گزارش فیلتر تنظیم کنید.
Run,اجرا کن
Disable Report,گزارش را غیرفعال کنید
Authenticating...,تأیید اعتبار ...
Timeline Links,پیوندهای گاهشمار
Complete By,کامل با
"Sorry, you're not authorized.",با عرض پوزش، شما مجاز نیستید
Add Total Row,مجموع ردیف اضافه کنید
Session Start Failed,شروع جلسه نتواند
Custom HTML Help,راهنمای سفارشی HTML
Preferred Billing Address,آدرس پرداختی ترجیحی
Assigned To,اختصاص یافته به
Use Different Email Login ID,از ID های مختلف ایمیل استفاده کنید
Please setup default Email Account from Setup &gt; Email &gt; Email Account,لطفا حساب پست الکترونیک پیش فرض را از Setup&gt; Email&gt; Account Email تنظیم کنید
"{0}: Cannot set Submit, Cancel, Amend without Write",{0}: نمی توان ثبت، لغو، تغییر بدون نوشتن تنظیم کرد
Socketio is not connected. Cannot upload,Socketio متصل نیست نمیتوان آپلود کرد
Write a SELECT query. Note result is not paged (all data is sent in one go).,یک پرس و جو SELECT بنویسید توجه توجه نتیجه نشود (تمام داده ها در یک حرکت ارسال می شود).
Email,پست الکترونیک
Python Module,پایتون ماژول
Sender Email,ایمیل فرستنده
Intermediate,حد واسط
Module Name,نام ماژول
Expiration time,زمان انقضا
"Set default format, page size, print style etc.",تنظیم پیش فرض قالب، اندازه صفحه، سبک چاپ و غیره
You cannot like something that you created,شما نمی توانید چیزی را که ایجاد کردید دوست داشته باشید
Session Expiry,پایان جلسه
Auto Name,نام خودرو
Select Attachments,پیوست ها را انتخاب کنید
Please set a printer mapping for this print format in the Printer Settings,لطفا یک نقشه چاپگر را برای این فرمت چاپ در تنظیمات چاپگر تنظیم کنید
Percent,درصد
No {0} found,هیچ {0} یافت نشد
Country Name,نام کشور
Import Data from CSV / Excel files.,واردات داده ها از فایل های CSV / اکسل.
Version Updated,نسخه به روز شده
Allocated To,اختصاص داده شده به
Keep track of all update feeds,پیگیری تمام فید های به روز رسانی را دنبال کنید
Email Sync Option,گزینه همگام سازی ایمیل
"The task {0}, that you assigned to {1}, has been closed.",وظیفه {0} که شما به {1} اختصاص داده اید، بسته شده است.
Client URLs,URL های مشتری
In Progress,در حال پیش رفت
Links,لینک ها
Email Flag Queue,ایمیل پرچم صف
Enable Automatic Backup,فعال کردن پشتیبان گیری خودکار
{0} appreciation point for {1} {2},{0} نقطه تقلیل برای {1} {2}
envelope,پاكت نامه
Administrator,مدیر
Has Role,نقش دارد
If non standard port (e.g. 587),اگر پورت غیر استاندارد (به عنوان مثال 587)
No matching records. Search something new,هیچ سوابق مطابق نیست جستجو جدید
System Page,صفحه سیستم
Note: By default emails for failed backups are sent.,توجه: به طور پیش فرض ایمیل برای پشتیبان گیری شکست خورده فرستاده می شود.
Custom DocPerm,DocPerm سفارشی
Doctype to Assign Tags,Doctype برای تخصیص برچسب ها
Warehouse,انبار
Dropbox Setup,راه اندازی Dropbox
Zero,صفر
Add a New Role,یک نقش جدید اضافه کنید
{0} already unsubscribed for {1} {2},{0} قبلا برای {1} {2} لغو شده است
Editable Grid,شبکه قابل ویرایش
Export Data,صادرات داده
Enable / Disable Domains,فعال کردن / غیر فعال کردن دامنه
Website Slideshow,نمایش به صورت خودکار وب سایت
Icon,آیکون
Special Characters are not allowed,شخصیت های خاص مجاز نیستند
Remove Section,حذف بخش
Go to the document,به سند بروید
Change Label (via Custom Translation),تغییر برچسب (از طریق ترجمه سفارشی)
Name not set via prompt,نام از طریق فوری تنظیم نشده است
Custom JS,JS سفارشی
Value,ارزش
Base Distinguished Name (DN),نام متمایز پایه (DN)
Timeline field must be a valid fieldname,فیلد جدول زمانی باید یک فیلد معتبر باشد
submitted this document,این سند را ارسال کرد
magnet,آهن ربا
Row Values Changed,مقادیر ردیف تغییر کرده است
Value Based On,ارزش بر اساس
Search Term,شرایط جستجو
Toggle Grid View,تغییر حالت شبکه
Filter Data,داده های فیلتر
Avatar,آواتار
A word by itself is easy to guess.,یک کلمه به خودی خود آسان است حدس بزنید.
Desktop Icon already exists,نماد دسکتاپ در حال حاضر وجود دارد
Invalid Email: {0},ایمیل نامعتبر: {0}
Save As,ذخیره به عنوان
Cannot update {0},نمی توان {0} به روزرسانی کرد
Email Unsubscribe,ایمیل لغو اشتراک
Monospace,یکپارچه
Set User Permissions,تنظیم مجوز کاربر
Created Custom Field {0} in {1},فیلد سفارشی {0} در {1} ایجاد شد
Tuesday,سهشنبه
User Permission,مجوز کاربر
Please Update SMS Settings,لطفا تنظیمات SMS را به روز کنید
Comments and Communications will be associated with this linked document,نظرات و ارتباطات با این سند مرتبط مرتبط خواهد بود
Attached To Name,پیوست شده به نام
Steps to verify your login,مراحل تأیید ورود شما
Room Type,نوع اتاق
Google Analytics ID,Google Analytics ID
{0} is not a raw printing format.,{0} یک فرمت چاپ خام نیست
One Last Step,آخرین مرحله
Restore,بازگرداندن
Example Email Address,مثال آدرس ایمیل
Open,باز کن
Check which Documents are readable by a User,بررسی کنید که کدام اسناد توسط یک کاربر قابل خواندن است
Root {0} cannot be deleted,ریشه {0} قابل حذف نیست
Mobile Number,شماره موبایل
Invalid User Name or Support Password. Please rectify and try again.,نام کاربر یا نام کاربری نامعتبر است لطفا اصلاح کنید و دوباره امتحان کنید
Customize,شخصی سازی
Year,سال
Calculate,محاسبه
"If you think this is unauthorized, please change the Administrator password.",اگر فکر می کنید این غیر مجاز است، لطفا رمز عبور Administrator را تغییر دهید.
Current Status,وضعیت فعلی
Post,پست
Select atleast 1 record for printing,رکورد atleast 1 برای چاپ را انتخاب کنید
Assigned By,اختصاص داده شده توسط
[Label]:[Field Type]/[Options]:[Width],[برچسب]: [نوع فیلد] / [گزینه ها]: [عرض]
Ctrl+Enter to add comment,Ctrl + برای اضافه کردن نظر وارد شوید
Field {0} is not selectable.,فیلد {0} قابل انتخاب نیست
