Connector Type,Tilslutningstype
Client URLs,Klientwebadresser
In Progress,I gang
Links,Links
Email Flag Queue,Email Flag kø
Enable Automatic Backup,Aktivér automatisk sikkerhedskopiering
{0} appreciation point for {1} {2},{0} påskønnelsespunkt for {1} {2}
envelope,kuvert
Administrator,Administrator
Has Role,Har rolle
If non standard port (e.g. 587),Hvis ikke standardport (f.eks. 587)
No matching records. Search something new,Ingen matchende poster. Søg noget nyt
System Page,System side
Note: By default emails for failed backups are sent.,Bemærk: Som standard sendes e-mails for mislykkede sikkerhedskopier.
Custom DocPerm,Brugerdefineret DocPerm
Doctype to Assign Tags,Doctype til tildele tags
Warehouse,Lager
Dropbox Setup,Dropbox Setup
Zero,Nul
Add a New Role,Tilføj en ny rolle
{0} already unsubscribed for {1} {2},{0} allerede afmeldt for {1} {2}
Editable Grid,Redigerbart net
Export Data,Eksporter data
Enable / Disable Domains,Aktivér / deaktiver domæner
Website Slideshow,Website Slideshow
Icon,Ikon
Special Characters are not allowed,Særlige tegn er ikke tilladt
Remove Section,Fjern afsnit
Go to the document,Gå til dokumentet
Change Label (via Custom Translation),Skift etiket (via brugerdefineret oversættelse)
Name not set via prompt,Navn er ikke angivet via prompt
Custom JS,Brugerdefineret JS
Value,Værdi
Base Distinguished Name (DN),Base Distinguished Name (DN)
Timeline field must be a valid fieldname,Tidslinjefelt skal være et gyldigt feltnavn
submitted this document,indsendt dette dokument
magnet,magnet
Row Values Changed,Række værdier ændret
Value Based On,Værdi baseret på
Search Term,Søgeterm
Toggle Grid View,Skift gittervisning
Filter Data,Filtreringsdata
Avatar,Avatar
A word by itself is easy to guess.,Et ord i sig selv er let at gætte.
Desktop Icon already exists,Desktop-ikonet eksisterer allerede
Invalid Email: {0},Ugyldig Email: {0}
Save As,Gem som
Cannot update {0},Kan ikke opdatere {0}
Email Unsubscribe,Email Afmeld
Monospace,Monospace
Set User Permissions,Indstil brugerrettigheder
Created Custom Field {0} in {1},Opret brugerdefineret felt {0} i {1}
Tuesday,tirsdag
User Permission,Bruger Tilladelse
Please Update SMS Settings,Opdater SMS-indstillinger
Comments and Communications will be associated with this linked document,Kommentarer og kommunikation vil blive knyttet til dette linkede dokument
Attached To Name,Vedhæftet til navn
Steps to verify your login,Skridt til at bekræfte dit login
Room Type,Værelses type
Google Analytics ID,Google Analytics ID
{0} is not a raw printing format.,{0} er ikke et rå udskrivningsformat.
One Last Step,Et sidste trin
Restore,Gendan
Example Email Address,Eksempel Email adresse
Open,Åben
Check which Documents are readable by a User,Tjek hvilke dokumenter der kan læses af en bruger
Root {0} cannot be deleted,Root {0} kan ikke slettes
Mobile Number,Mobilnummer
Invalid User Name or Support Password. Please rectify and try again.,Ugyldigt brugernavn eller supportadgangskode. Ret venligst og prøv igen.
Customize,Tilpas
Year,År
Calculate,Beregn
"If you think this is unauthorized, please change the Administrator password.","Hvis du mener, at dette er uautoriseret, skal du ændre administratoradgangskoden."
Current Status,Nuværende status
Post,Stolpe
Select atleast 1 record for printing,Vælg mindst 1 post til udskrivning
Assigned By,Tildelt By
[Label]:[Field Type]/[Options]:[Width],[Etiket]: [Feltype] / [Valg]: [Bredde]
Ctrl+Enter to add comment,Ctrl + Enter for at tilføje kommentar
Field {0} is not selectable.,Felt {0} kan ikke vælges.
Birth Date,Fødselsdato
With Group Indentation,Med gruppeindrykning
Disable Count,Deaktiver tæller
Email ID,E-mail-id
Incorrect User or Password,Forkert bruger eller kodeord
Allow Rename,Tillad omdøb
"Setup of top navigation bar, footer and logo.","Opsætning af øverste navigationslinje, footer og logo."
Address Title is mandatory.,Adressetitel er obligatorisk.
Must specify a Query to run,Skal angive en forespørgsel for at køre
Email Queue records.,E-mail-køoptegnelser.
Nothing to update,Intet at opdatere
Please enter values for GSuite Access Key and GSuite Access Secret,Indtast værdier for GSuite Access Key og GSuite Access Secret
Please enter valid mobile nos,Indtast venligst gyldige mobilnumre
Data,Data
Your Country,Dit land
This link has already been activated for verification.,Dette link er allerede aktiveret til verifikation.
Enter folder name,Indtast mappenavn
Followed by,Efterfulgt af
Enter python module or select connector type,Indtast python-modul eller vælg konnektortype
Block Modules,Blokmoduler
Revert Of,Vender tilbage
Sign Up is disabled,Tilmeld dig er deaktiveret
Download Template,Download skabelon
Value too big,Værdi for stor
Image View,Billedvisning
Document,Dokument
Custom Script,Brugerdefineret script
Please specify,Vær venlig at uddybe
"Hint: Include symbols, numbers and capital letters in the password","Tip: Inkluder symboler, tal og store bogstaver i adgangskoden"
Sorry! Sharing with Website User is prohibited.,Undskyld! Deling med Website User er forbudt.
{0} reverted your point on {1},{0} tilbagevendte dit punkt på {1}
&lt;head&gt; HTML,&lt;head&gt; HTML
This role update User Permissions for a user,Denne rolle opdaterer brugerrettigheder til en bruger
Theme,Tema
Show Sidebar,Vis sidebjælke
Default Inbox,Standardindbakke
Invalid Login Token,Ugyldig logintoken
First set the name and save the record.,Indstil først navnet og gem posten.
eye-open,eye-open
Web Link,Weblink
App,App
Eg. smsgateway.com/api/send_sms.cgi,F.eks. smsgateway.com/api/send_sms.cgi
camera,kamera
Please select Minimum Password Score,Vælg venligst mindst adgangskode score
Please make sure that there are no empty columns in the file.,"Sørg for, at der ikke er tomme kolonner i filen."
Select Module,Vælg modul
Submitted,indsendt
The user from this field will be rewarded points,Brugeren fra dette felt bliver belønnet
Last Name,Efternavn
1 hour ago,1 time siden
on_update_after_submit,on_update_after_submit
If you are updating/overwriting already created records.,Hvis du opdaterer / overskriver allerede oprettede poster.
View List,Vis liste
User can login using Email id or Mobile number,Bruger kan logge ind med e-mail-id eller mobilnummer
Refreshing,forfriskende
"Enter keys to enable login via Facebook, Google, GitHub.","Indtast nøgler for at aktivere login via Facebook, Google, GitHub."
Please select another payment method. Stripe does not support transactions in currency '{0}',Vælg venligst en anden betalingsmetode. Stripe understøtter ikke transaktioner i valuta &#39;{0}&#39;
Not enough permission to see links,Ikke nok tilladelse til at se links
Add / Update,Tilføj / opdater
Please correct the,Ret venligst
Top Bar Item,Top Bar Item
Role Permissions Manager,Role Permissions Manager
There were errors. Please report this.,Der var fejl. Rapporter venligst dette.
Female,Kvinde
OTP Issuer Name,OTP Udsteder Navn
Add to To Do,Tilføj til for at gøre
Ref DocType,Ref DocType
Permission Error,Tilladelsesfejl
Create and manage newsletter,Opret og administrer nyhedsbrev
Repeat Till,Gentag Till
File not attached,Filen er ikke vedhæftet
changed value of {0},ændret værdi af {0}
Create New,Lav ny
{0} is required,{0} er påkrævet
Custom Fields can only be added to a standard DocType.,Brugerdefinerede felter kan kun tilføjes til en standard DocType.
Standard roles cannot be disabled,Standardroller kan ikke deaktiveres
Checksum Version,Checksum Version
Category Description,Kategori Beskrivelse
Options must be a valid DocType for field {0} in row {1},Indstillinger skal være en gyldig DocType for felt {0} i række {1}
Next actions,Næste handlinger
"Filter must have 4 values (doctype, fieldname, operator, value): {0}","Filtret skal have 4 værdier (doktype, feltnavn, operatør, værdi): {0}"
Domain,Domæne
Karma,Karma
Rounded Corners,Afrundede hjørner
Remote ID,Fjern-ID
Shared with everyone,Delt med alle
Disabled,handicappet
Cannot delete {0},Kan ikke slette {0}
HTML,HTML
Linked With,Forbundet med
Name Case,Navn Case
Error in Notification: {},Fejl i meddelelse: {}
Gateway Settings,Gateway Indstillinger
Module Not Found,Modul ikke fundet
Custom Role,Brugerdefineret rolle
View Settings,Se indstillinger
JavaScript,JavaScript
You can't set 'Options' for field {0},Du kan ikke angive &#39;Valg&#39; for felt {0}
Disable Prepared Report,Deaktiver forberedt rapport
Export All {0} rows?,Eksporter alle {0} rækker?
star-empty,stjerne-tom
Created On,Oprettet på
Half Day,Halv dag
Default Sending,Standard afsendelse
View document,Se dokument
Notify if unreplied for (in mins),Underret om hvis ubesvaret for (i min)
arrow-left,pil-venstre
Starts on,Starter på
Set Number of Backups,Indstil antal sikkerhedskopier
Link Expired,Link udløbet
Incorrect value: {0} must be {1} {2},Forkert værdi: {0} skal være {1} {2}
Yandex.Mail,Yandex.Mail
Edit Auto Email Report Settings,Rediger indstillinger for automatisk e-mail-rapport
Please set filters,Venligst indstil filtre
Delete this record to allow sending to this email address,Slet denne post for at tillade afsendelse til denne e-mail-adresse
Note Seen By,Bemærkning Set By
arrow-up,pil op
Social,Social
Custom Fields cannot be added to core DocTypes.,Brugerdefinerede felter kan ikke føjes til kernen DocTypes.
Printing,Trykning
Direct,Direkte
Send unsubscribe message in email,Send afmeld besked i e-mail
Ignore attachments over this size,Ignorer vedhæftede filer over denne størrelse
briefcase,mappe
The resource you are looking for is not available,"Den ressource, du leder efter, er ikke tilgængelig"
Heading,Overskrift
** Failed: {0} to {1}: {2},** mislykkedes: {0} til {1}: {2}
File too big,Filen er for stor
Select All,Vælg alle
Is,Er
Data Migration,Dataoverførsel
Reset,Nulstil
Email Addresses,Email adresse
Allow saving if mandatory fields are not filled,"Tillad gemtning, hvis obligatoriske felter ikke er udfyldt"
The first user will become the System Manager (you can change this later).,Den første bruger bliver System Manager (du kan ændre dette senere).
Chat,Snak
Email Domain,Email Domain
ap-south-1,ap-syd-1
Import Status,Import Status
Pages in Desk (place holders),Sider i skrivebord (pladsholdere)
hdd,hdd
Visit,Besøg
"LDAP Search String needs to end with a placeholder, eg sAMAccountName={0}","LDAP Search String skal slutte med en pladsholder, f.eks. SAMAccountName = {0}"
Navbar Style,Navbar Style
Track Seen,Sporet set
Page Name,Sidens navn
Knowledge Base Contributor,Knowledge Base Bidragyder
This document is currently queued for execution. Please try again,Dette dokument er i øjeblikket købet til udførelse. Prøv igen
Total,i alt
Property,Ejendom
Client Credentials,Klientoplysninger
Ignored: {0} to {1},Ignoreret: {0} til {1}
Logged in,Logget ind
Email Account added multiple times,E-mail-konto tilføjet flere gange
eu-west-2,eu-vest-2
Check Request URL,Tjek forespørgselswebadresse
About,Om
Custom Translations,Brugerdefinerede oversættelser
Sr,Sr
"Language, Date and Time settings","Indstillinger for sprog, dato og klokkeslæt"
none of,ingen af
Page,Side
plus-sign,plus-tegn
Cannot Update: Incorrect / Expired Link.,Kan ikke opdatere: Forkert / Udgået Link.
Yellow,Gul
Number of columns for a field in a Grid (Total Columns in a grid should be less than 11),Antal kolonner for et felt i et gitter (Total kolonner i et gitter skal være mindre end 11)
Frequency,Frekvens
{0} not found,{0} ikke fundet
{0} logged in,{0} logget ind
Nothing to show,Intet at vise
Local Primary Key,Lokal primærnøgle
SMS Gateway URL,SMS Gateway URL
query-report,query-rapport
New Kanban Board,New Kanban Board
Date,Dato
Communication Type,Kommunikationstype
Parent Table,Forældre tabel
Show Full Error and Allow Reporting of Issues to the Developer,Vis fuld fejl og tillade rapportering af problemer til udvikleren
"This field will appear only if the fieldname defined here has value OR the rules are true (examples): 
myfield
eval:doc.myfield=='My Value'
eval:doc.age&gt;18","Dette felt vil kun blive vist, hvis feltet navn defineret her har værdi ELLER reglerne er sande (eksempler): myfield eval: doc.myfield == &#39;Min værdi&#39; eval: doc.age&gt; 18"
chevron-right,Chevron-højre
Only users involved in the document are listed,Kun brugere involveret i dokumentet er angivet
Dashboard,instrumentbræt
Sample,Prøve
Value Change,Værdiforandring
Calendar,Kalender
Format Data,Formatdata
Translate {0},Oversæt {0}
This request has not yet been approved by the user.,Denne anmodning er endnu ikke godkendt af brugeren.
Are you sure?,Er du sikker?
"Show title in browser window as ""Prefix - title""",Vis titel i browservinduet som &quot;Prefix - title&quot;
Sent,Sendt
Email By Role,Email til rolle
Please Upgrade to add more than {0} subscribers,Opgrader venligst for at tilføje mere end {0} abonnenter
This email was sent to {0},Denne email blev sendt til {0}
Represents a User in the system.,Representerer en bruger i systemet.
Page {0},Side {0}
Start new Format,Start nyt format
Add a comment,Tilføj en kommentar
{0} of {1},{0} af {1}
Size,Størrelse
Add Participants,Tilføj deltagerne
Select or drag across time slots to create a new event.,Vælg eller træk over tidsslots for at oprette en ny begivenhed.
Dashboard Chart,Dashboard Diagram
