Connector Type,Typ konektora
Socketio is not connected. Cannot upload,Socketio nie je pripojený. Nie je možné nahrať
Write a SELECT query. Note result is not paged (all data is sent in one go).,Napíšte dotaz SELECT. Výsledok upozornenia nie je stránkovaný (všetky údaje sa odosielajú naraz).
Email,e-mail
Python Module,Modul Python
Sender Email,Email odosielateľa
Intermediate,prechodný
Module Name,Názov modulu
Expiration time,Čas exspirácie
"Set default format, page size, print style etc.","Nastaviť predvolený formát, veľkosť stránky, štýl tlače atď."
You cannot like something that you created,"Nemôžete mať rád niečo, čo ste vytvorili"
Session Expiry,Skončenie relácie
Auto Name,Automatický názov
Select Attachments,Vyberte Prílohy
Please set a printer mapping for this print format in the Printer Settings,Nastavte mapovanie tlačiarne pre tento formát tlače v časti Nastavenia tlačiarne
Percent,percento
No {0} found,Nenašlo sa {0}
Country Name,Názov krajiny
Import Data from CSV / Excel files.,Importovať dáta zo súborov CSV / Excel.
Version Updated,Verzia bola aktualizovaná
Allocated To,Pridelené k
Keep track of all update feeds,Sledujte všetky aktualizačné kanály
Email Sync Option,Možnosť synchronizácie e-mailov
"The task {0}, that you assigned to {1}, has been closed.","Úloha {0}, ktorú ste priradili {1}, bola zatvorená."
Client URLs,Adresy URL klienta
In Progress,V pokroku
Links,odkazy
Email Flag Queue,Fronta označovania e-mailov
Enable Automatic Backup,Povoliť automatické zálohovanie
{0} appreciation point for {1} {2},{0} bod zhodnotenia pre {1} {2}
envelope,obálka
Administrator,správca
Has Role,Má úlohu
If non standard port (e.g. 587),Ak nie je štandardný port (napr. 587)
No matching records. Search something new,Žiadne zodpovedajúce záznamy. Vyhľadať niečo nové
System Page,Systémová stránka
Note: By default emails for failed backups are sent.,Poznámka: Štandardne sa odosielajú e-maily pre neúspešné zálohy.
Custom DocPerm,Vlastné DocPerm
Doctype to Assign Tags,Doctype na priradenie značiek
Warehouse,sklad
Dropbox Setup,Nastavenie Dropbox
Zero,nula
Add a New Role,Pridať novú úlohu
{0} already unsubscribed for {1} {2},{0} sa už odhlásilo na {1} {2}
Editable Grid,Upraviteľná mriežka
Export Data,Exportovať údaje
Enable / Disable Domains,Povoliť / zakázať domény
Website Slideshow,Prezentácia webových stránok
Icon,ikona
Special Characters are not allowed,Špeciálne znaky nie sú povolené
Remove Section,Odstráňte sekciu
Go to the document,Prejdite na dokument
Change Label (via Custom Translation),Zmeniť štítok (prostredníctvom vlastného prekladu)
Name not set via prompt,Meno nie je nastavené prostredníctvom výzvy
Custom JS,Vlastné JS
Value,hodnota
Base Distinguished Name (DN),Základný rozlišovací názov (DN)
Timeline field must be a valid fieldname,Pole časovej osi musí byť platné meno poľa
submitted this document,tento dokument
magnet,magnet
Row Values Changed,Hodnoty riadkov boli zmenené
Value Based On,Hodnota Založená na
Search Term,Hľadaný výraz
Toggle Grid View,Prepnúť zobrazenie mriežky
Filter Data,Filtrovať údaje
Avatar,avatar
A word by itself is easy to guess.,Slovo samo o sebe je ľahké uhádnuť.
Desktop Icon already exists,Ikona na ploche už existuje
Invalid Email: {0},Neplatný e-mail: {0}
Save As,Uložiť ako
Cannot update {0},Nie je možné aktualizovať {0}
Email Unsubscribe,Odhlásiť sa z e-mailu
Monospace,neproporcionálne
Set User Permissions,Nastaviť povolenia používateľa
Created Custom Field {0} in {1},Vytvorené vlastné pole {0} v {1}
Tuesday,utorok
User Permission,Povolenie používateľa
Please Update SMS Settings,Aktualizujte nastavenia SMS
Comments and Communications will be associated with this linked document,Komentáre a komunikácie budú spojené s týmto prepojeným dokumentom
Attached To Name,Pripojené k názvu
Steps to verify your login,Kroky na overenie prihlásenia
Room Type,Typ izby
Google Analytics ID,ID služby Google Analytics
{0} is not a raw printing format.,{0} nie je formát surovej tlače.
One Last Step,Jeden posledný krok
Restore,obnoviť
Example Email Address,Príklad e-mailovej adresy
Open,Otvorené
Check which Documents are readable by a User,"Skontrolujte, ktoré dokumenty sú pre používateľa čitateľné"
Root {0} cannot be deleted,Root {0} sa nedá odstrániť
Mobile Number,Telefónne číslo
Invalid User Name or Support Password. Please rectify and try again.,Neplatné meno používateľa alebo heslo podpory. Opravte to a skúste to znova.
Customize,prispôsobenie
Year,rok
Communication Link,Komunikačné prepojenie
Calculate,vypočítať
"If you think this is unauthorized, please change the Administrator password.","Ak si myslíte, že je to neoprávnené, zmeňte heslo administrátora."
Current Status,Súčasný stav
Post,pošta
Select atleast 1 record for printing,Vyberte aspoň 1 záznam pre tlač
Assigned By,Pridelené podľa
[Label]:[Field Type]/[Options]:[Width],[Popis]: [Typ poľa] / [Možnosti]: [Šírka]
Ctrl+Enter to add comment,Ctrl + Enter na pridanie komentára
Field {0} is not selectable.,Pole {0} nie je možné vybrať.
Birth Date,Dátum narodenia
With Group Indentation,S odsadením skupiny
Disable Count,Zakázať počet
Email ID,ID e-mailu
Incorrect User or Password,Nesprávny používateľ alebo heslo
Allow Rename,Povoli »Premenova»
"Setup of top navigation bar, footer and logo.","Nastavenie hornej navigačnej lišty, päty a loga."
{0}: Options required for Link or Table type field {1} in row {2},{0}: Možnosti požadované pre pole Typ odkazu alebo Typ tabuľky {1} v riadku {2}
Address Title is mandatory.,Názov adresy je povinný.
Must specify a Query to run,"Musíte zadať dotaz, ktorý chcete spustiť"
Email Queue records.,Záznamy vo fronte e-mailov.
Nothing to update,Nič na aktualizáciu
Please enter values for GSuite Access Key and GSuite Access Secret,Zadajte hodnoty pre GSuite Access Key a GSuite Access Secret
Please enter valid mobile nos,Zadajte platné mobilné čísla
Data,údaje
Your Country,Tvoja krajina
This link has already been activated for verification.,Tento odkaz už bol aktivovaný na overenie.
Enter folder name,Zadajte názov priečinka
Followed by,Nasledovaný
Enter python module or select connector type,Zadajte modul python alebo vyberte typ konektora
Block Modules,Blokové moduly
Revert Of,Vrátiť
Sign Up is disabled,Registrácia je zakázaná
Download Template,Stiahnuť šablónu
Value too big,Hodnota je príliš veľká
Image View,Zobrazenie obrázkov
Document,dokument
Custom Script,Vlastný skript
Please specify,Prosím upresniť
"Hint: Include symbols, numbers and capital letters in the password","Tip: V hesle uveďte symboly, čísla a veľké písmená"
Sorry! Sharing with Website User is prohibited.,Prepáč! Zdieľanie s používateľom webových stránok je zakázané.
{0} reverted your point on {1},{0} vrátil váš bod na {1}
&lt;head&gt; HTML,&lt;head&gt; HTML
This role update User Permissions for a user,Táto rola aktualizuje oprávnenia používateľa pre používateľa
Theme,téma
Show Sidebar,Zobraziť bočný panel
Default Inbox,Predvolená pošta
Invalid Login Token,Neplatný token prihlásenia
First set the name and save the record.,Najprv nastavte názov a uložte záznam.
eye-open,oko otvorené
Web Link,Internetový odkaz
App,app
Eg. smsgateway.com/api/send_sms.cgi,Napr. smsgateway.com/api/send_sms.cgi
camera,fotoaparát
Please select Minimum Password Score,Vyberte Minimálne skóre hesla
Please make sure that there are no empty columns in the file.,"Uistite sa, že v súbore nie sú žiadne prázdne stĺpce."
Select Module,Vyberte Modul
Submitted,predložené
The user from this field will be rewarded points,Užívateľ z tohto poľa bude odmenený bodmi
Last Name,Priezvisko
1 hour ago,pred 1 hodinou
on_update_after_submit,on_update_after_submit
If you are updating/overwriting already created records.,Ak aktualizujete / prepíšete už vytvorené záznamy.
View List,Zobraziť zoznam
User can login using Email id or Mobile number,Užívateľ sa môže prihlásiť pomocou e-mailu alebo mobilného čísla
Refreshing,osviežujúci
"Enter keys to enable login via Facebook, Google, GitHub.","Zadajte kľúče na prihlásenie cez Facebook, Google, GitHub."
Please select another payment method. Stripe does not support transactions in currency '{0}',Vyberte iný spôsob platby. Stripe nepodporuje transakcie v mene &#39;{0}&#39;
Not enough permission to see links,Nie je dostatočné povolenie na zobrazenie odkazov
Add / Update,Pridať / aktualizovať
Please correct the,Opravte prosím
Top Bar Item,Položka Top Bar
Role Permissions Manager,Manažér povolení rolí
There were errors. Please report this.,Vyskytli sa chyby. Oznámte to.
Female,Žena
OTP Issuer Name,Meno emitenta OTP
Add to To Do,Pridať do úlohy
Ref DocType,Ref DocType
Permission Error,Chyba povolenia
Create and manage newsletter,Vytvárajte a spravujte newsletter
Repeat Till,Opakujte Do
File not attached,Súbor nie je pripojený
changed value of {0},zmenená hodnota {0}
Create New,Vytvor nový
{0} is required,{0} je potrebné
Custom Fields can only be added to a standard DocType.,Vlastné polia môžu byť pridané iba do štandardného DocType.
Standard roles cannot be disabled,Štandardné role nie je možné zakázať
Checksum Version,Verzia kontrolného súčtu
Category Description,Popis kategórie
Next actions,Ďalšie akcie
"Filter must have 4 values (doctype, fieldname, operator, value): {0}","Filter musí mať 4 hodnoty (doctype, fieldname, operator, value): {0}"
Domain,doména
Karma,Karma
Rounded Corners,Zaoblené rohy
Remote ID,Vzdialená identifikácia
Shared with everyone,Zdieľané s každým
Disabled,invalidný
Cannot delete {0},Nedá sa odstrániť {0}
HTML,HTML
Linked With,Prepojené
Name Case,Názov Prípad
Error in Notification: {},Chyba v oznámení: {}
Gateway Settings,Nastavenia brány
Module Not Found,Modul nebol nájdený
Custom Role,Vlastná úloha
View Settings,Zobraziť nastavenia
JavaScript,JavaScript
You can't set 'Options' for field {0},Pre pole {0} nie je možné nastaviť možnosti
Disable Prepared Report,Vypnúť pripravenú správu
Export All {0} rows?,Exportovať všetky riadky {0}?
star-empty,star-prázdne
Created On,Vytvorené na
Half Day,Pol dňa
Default Sending,Predvolené odosielanie
View document,Zobraziť dokument
Notify if unreplied for (in mins),Upozorniť na nezodpovedané (v minútach)
arrow-left,šípka doľava
Starts on,Začína na
Set Number of Backups,Nastavte počet záloh
Link Expired,Platnosť odkazu vypršala
Incorrect value: {0} must be {1} {2},Nesprávna hodnota: {0} musí byť {1} {2}
Yandex.Mail,Yandex.Mail
Edit Auto Email Report Settings,Upraviť nastavenia automatického e-mailového prehľadu
Please set filters,Nastavte filtre
Delete this record to allow sending to this email address,"Ak chcete povoliť odosielanie na túto e-mailovú adresu, odstráňte tento záznam"
Note Seen By,Poznámka Pri pohľade v
arrow-up,šípka hore
Social,Sociálnej
Custom Fields cannot be added to core DocTypes.,Vlastné polia nemôžu byť pridané do jadra DocTypes.
Printing,tlač
Direct,Priamy
Send unsubscribe message in email,Odoslať správu o odhlásení v e-maile
Ignore attachments over this size,Ignorovať prílohy nad touto veľkosťou
briefcase,aktovka
The resource you are looking for is not available,"Zdroj, ktorý hľadáte, nie je k dispozícii"
Heading,nadpis
** Failed: {0} to {1}: {2},** Zlyhanie: {0} až {1}: {2}
File too big,Súbor je príliš veľký
Select All,Vybrať všetko
Is,Je
Data Migration,Migrácia údajov
Reset,resetovať
Email Addresses,Emailové adresy
Allow saving if mandatory fields are not filled,"Povoliť ukladanie, ak povinné polia nie sú vyplnené"
The first user will become the System Manager (you can change this later).,Prvý používateľ sa stane správcom systému (neskôr môžete zmeniť).
Chat,rozprávanie
Email Domain,E-mailová doména
ap-south-1,ap-juh-1
Import Status,Stav importu
Pages in Desk (place holders),Stránky na pracovnom stole (držiaky miest)
hdd,hdd
Visit,návšteva
"LDAP Search String needs to end with a placeholder, eg sAMAccountName={0}","Reťazec vyhľadávania LDAP musí končiť zástupným symbolom, napr. SAMAccountName = {0}"
Navbar Style,Štýl navigácie
Track Seen,Pozreté
Page Name,Názov stránky
Knowledge Base Contributor,Prispievateľ databázy Knowledge Base
This document is currently queued for execution. Please try again,Tento dokument je momentálne vo fronte na vykonanie. Prosím skúste znova
Total,totálnej
Property,vlastnosť
Client Credentials,Poverenia klienta
Ignored: {0} to {1},Ignorované: {0} až {1}
Logged in,Prihlásený
Email Account added multiple times,E-mailový účet bol pridaný viackrát
eu-west-2,eu-západ-2
Check Request URL,Adresa URL kontroly požiadavky
About,o
Custom Translations,Vlastné preklady
Sr,staršie
"Language, Date and Time settings","Nastavenia jazyka, dátumu a času"
none of,žiadny z
Page,strana
plus-sign,plus-sign
Cannot Update: Incorrect / Expired Link.,Nie je možné aktualizovať: Nesprávne / uplynuté prepojenie.
Yellow,žltá
Number of columns for a field in a Grid (Total Columns in a grid should be less than 11),Počet stĺpcov pre pole v mriežke (Celkové stĺpce v mriežke by mali byť menšie ako 11)
Frequency,kmitočet
{0} not found,{0} sa nenašlo
{0} logged in,{0} prihlásený
Nothing to show,Nič na show
Local Primary Key,Miestny primárny kľúč
SMS Gateway URL,Adresa URL SMS brány
query-report,query-report
New Kanban Board,Nová rada Kanban
Date,dátum
Communication Type,Typ komunikácie
Parent Table,Tabuľka rodičov
