Connector Type,Liittimen tyyppi
Maintenance User,Huolto-käyttäjä
Link to the page you want to open. Leave blank if you want to make it a group parent.,"Linkki sivulle, jonka haluat avata. Jätä tyhjäksi, jos haluat tehdä siitä ryhmän vanhemman."
Your organization name and address for the email footer.,Organisaation nimi ja sähköpostiosoitteen alatunniste.
"Please enter both your email and message so that we \
				can get back to you. Thanks!","Anna sähköpostiosoitteesi ja viestisi niin, että saamme sinut takaisin. Kiitos!"
Attempting to launch QZ Tray...,Yritetään käynnistää QZ-lokero ...
"Another {0} with name {1} exists, select another name","Toinen {0} nimi {1} on olemassa, valitse toinen nimi"
Offline,Poissa
Security Settings,Turvallisuusasetukset
Enable Print Server,Ota tulostuspalvelin käyttöön
LDAP Not Installed,LDAP ei ole asennettu
Dropbox Access Key,Dropbox-avaimen avain
Search for anything,Etsi mitään
Table Field,Taulukon kenttä
CSV,CSV
Set Only Once,Aseta vain kerran
We have received a request for deletion of {0} data associated with: {1},"Olemme saaneet {0} -tietojen poistamista koskevan pyynnön, joka liittyy: {1}"
This report was generated {0}.,Tämä raportti on luotu {0}.
Document Follow Notification,Asiakirja seuraa ilmoitusta
Fieldname,Kenttä nimi
FavIcon,favicon
Will be used in url (usually first name).,Käytetään URL-osoitteessa (yleensä etunimi).
Sum of {0},Summa {0}
Plan Name,Suunnitelman nimi
No Label,Ei etikettiä
Use POST,Käytä POST-toimintoa
Region,alue
"Use a few words, avoid common phrases.","Käytä muutamia sanoja, välttäkää yleisiä lauseita."
Save API Secret: ,Tallenna API-salaisuus:
"If these instructions where not helpful, please add in your suggestions on GitHub Issues.","Jos nämä ohjeet eivät ole hyödyllisiä, lisää GitHub-ongelmiin liittyviä ehdotuksia."
folder-close,kansio-kiinni
Pull Update,Vedä päivitys
merged {0} into {1},yhdistetty {0} osaksi {1}
Enter url parameter for receiver nos,Anna vastaanottimen nosteen url-parametri
Syntax error in template,Syntaksi virhe mallissa
Please set filters value in Report Filter table.,Määritä suodattimen arvo Raporttisuodattimen taulukossa.
Run,Juosta
Disable Report,Poista raportti käytöstä
Authenticating...,Varmennetaan ...
Timeline Links,Aikajana-linkit
Complete By,Täydennä
"Sorry, you're not authorized.",Valitettavasti et ole valtuutettu.
Add Total Row,Lisää yhteensä rivi
Session Start Failed,Istunnon aloitus epäonnistui
Custom HTML Help,Mukautettu HTML-ohje
Preferred Billing Address,Ensisijainen laskutusosoite
Assigned To,Määritetty
Use Different Email Login ID,Käytä eri sähköpostiosoitteen tunnusta
Please setup default Email Account from Setup &gt; Email &gt; Email Account,Aseta oletusarvoinen sähköpostitili Asetukset&gt; Sähköposti&gt; Sähköpostitili
"{0}: Cannot set Submit, Cancel, Amend without Write","{0}: Ei voi asettaa Lähetä, Peruuta, Muuta ilman Kirjoitusta"
Socketio is not connected. Cannot upload,Socketio ei ole kytketty. Ei voi ladata
Write a SELECT query. Note result is not paged (all data is sent in one go).,Kirjoita SELECT-kysely. Huomautus tulos ei hae (kaikki tiedot lähetetään yhdellä kertaa).
Email,Sähköposti
Python Module,Python-moduuli
Sender Email,Lähettäjän sähköposti
Intermediate,väli-
Module Name,Moduulin nimi
Expiration time,Vanhentumisaika
"Set default format, page size, print style etc.","Aseta oletusmuoto, sivukoko, tulostustyyli jne."
You cannot like something that you created,"Et voi pitää jotain, jonka olet luonut"
Session Expiry,Istunnon päättyminen
Auto Name,Automaattinen nimi
Select Attachments,Valitse Liitteet
Please set a printer mapping for this print format in the Printer Settings,Aseta tulostusmuotoilu tulostusmuodolle Tulostinasetukset-kohdassa
Percent,prosentti
No {0} found,Ei löydy {0}
Country Name,Maan nimi
Import Data from CSV / Excel files.,Tuo tietoja CSV / Excel-tiedostoista.
Version Updated,Versio päivitetty
Allocated To,Myönnetty
Keep track of all update feeds,Seuraa kaikkia päivityskanavia
Email Sync Option,Sähköpostin synkronointiasetus
"The task {0}, that you assigned to {1}, has been closed.","Tehtävä {0}, jonka määritte {1}, on suljettu."
Client URLs,Asiakkaan URL-osoitteet
In Progress,Meneillään
Links,Linkit
Email Flag Queue,Sähköpostin lippujono
Enable Automatic Backup,Ota automaattinen varmuuskopio käyttöön
{0} appreciation point for {1} {2},{0} arvostuspiste {1} {2}
envelope,kirjekuori
Administrator,Järjestelmänvalvoja
Has Role,Onko roolilla
If non standard port (e.g. 587),Jos ei ole vakioportti (esim. 587)
No matching records. Search something new,Ei vastaavia tietueita. Etsi jotain uutta
System Page,Järjestelmäsivu
Note: By default emails for failed backups are sent.,Huomautus: Oletusarvoisten sähköpostiviestien lähettäminen epäonnistuneille varmuuskopioille lähetetään.
Custom DocPerm,Mukautettu DocPerm
Doctype to Assign Tags,Tunnisteiden määrittäminen -työkalu
Warehouse,Varasto
Dropbox Setup,Dropbox-asetukset
Zero,Nolla
Add a New Role,Lisää uusi rooli
{0} already unsubscribed for {1} {2},{0} on jo tilannut {1} {2}
Editable Grid,Muokattava ruudukko
Export Data,Vie tietoja
Enable / Disable Domains,Ota verkkotunnukset käyttöön tai poista se käytöstä
Website Slideshow,Verkkosivuston diaesitys
Icon,ikoni
Special Characters are not allowed,Erikoismerkit eivät ole sallittuja
Remove Section,Poista osa
Go to the document,Siirry asiakirjaan
Change Label (via Custom Translation),Vaihda tarra (mukautetun käännöksen kautta)
Name not set via prompt,Nimi ei ole asetettu kehotteen avulla
Custom JS,Custom JS
Value,Arvo
Base Distinguished Name (DN),Perusta erottava nimi (DN)
Timeline field must be a valid fieldname,Aikajanan kentän on oltava kelvollinen kentänimi
submitted this document,toimittanut tämän asiakirjan
magnet,magneetti
Row Values Changed,Riviarvot muuttuneet
Value Based On,Arvo perustuu
Search Term,Hakusana
Toggle Grid View,Vaihda ruudukkonäkymää
Filter Data,Suodata tiedot
Avatar,avatar
A word by itself is easy to guess.,Sana itsessään on helppo arvata.
Desktop Icon already exists,Työpöydän kuvake on jo olemassa
Invalid Email: {0},Virheellinen sähköpostiosoite: {0}
Save As,Tallenna nimellä
Cannot update {0},{0} ei voi päivittää
Email Unsubscribe,Sähköposti Peruuta tilaus
Monospace,Monospace
Set User Permissions,Aseta käyttäjäoikeudet
Created Custom Field {0} in {1},Luotu mukautettu kenttä {0} {1}
Tuesday,tiistai
User Permission,Käyttölupa
Please Update SMS Settings,Päivitä SMS-asetukset
Comments and Communications will be associated with this linked document,Kommentit ja viestit liittyvät tähän linkitettyyn asiakirjaan
Attached To Name,Liitteenä nimi
Steps to verify your login,Vaiheet kirjautumisen tarkistamiseen
Room Type,Huone tyyppi
Google Analytics ID,Google Analytics -tunnus
{0} is not a raw printing format.,{0} ei ole raakatulostusmuoto.
One Last Step,Yksi viimeinen vaihe
Restore,Palauttaa
Example Email Address,Esimerkki sähköpostiosoite
Open,Avata
Check which Documents are readable by a User,"Tarkista, mitkä asiakirjat ovat käyttäjän luettavissa"
Root {0} cannot be deleted,Juurta {0} ei voi poistaa
Mobile Number,Matkapuhelinnumero
Invalid User Name or Support Password. Please rectify and try again.,Virheellinen käyttäjänimi tai tukisalasana. Korjaa ja yritä uudelleen.
Customize,muokata
Year,vuosi
Calculate,Laskea
"If you think this is unauthorized, please change the Administrator password.","Jos epäilet, että tämä on luvaton, vaihda järjestelmänvalvojan salasana."
Current Status,Nykyinen tila
Post,Lähettää
Select atleast 1 record for printing,Valitse tulostettavaksi vähintään 1 tietue
Assigned By,Määritetty
[Label]:[Field Type]/[Options]:[Width],[Label]: [Field Type] / [Options]: [Leveys]
Ctrl+Enter to add comment,Lisää kommentti Ctrl + Enter
Field {0} is not selectable.,Kenttä {0} ei ole valittavissa.
Birth Date,Syntymäpäivä
With Group Indentation,Ryhmätunnistuksella
Disable Count,Poista laskenta käytöstä
Email ID,Sähköposti tunnus
Incorrect User or Password,Virheellinen käyttäjä tai salasana
Allow Rename,Salli nimeä uudelleen
"Setup of top navigation bar, footer and logo.","Top navigointipalkin, alatunnisteen ja logon asetukset."
Address Title is mandatory.,Osoiteosoite on pakollinen.
Must specify a Query to run,"Täytyy määrittää kysely, jonka haluat suorittaa"
Email Queue records.,Sähköpostin jonotietueet.
Nothing to update,Mitään päivitettävää
Please enter values for GSuite Access Key and GSuite Access Secret,Anna arvot GSuite Access Key ja GSuite Access Secret
Please enter valid mobile nos,Anna kelvollinen matkaviestin
Data,data
Your Country,Maasi
This link has already been activated for verification.,Tämä linkki on jo aktivoitu tarkistusta varten.
Enter folder name,Anna kansion nimi
Followed by,Jonka jälkeen
Enter python module or select connector type,Syötä python-moduuli tai valitse liitintyyppi
Block Modules,Estä moduulit
Revert Of,Revert Of
Sign Up is disabled,Rekisteröidy on poistettu käytöstä
Download Template,Lataa malli
Value too big,Arvo on liian suuri
Image View,Kuvanäkymä
Document,Asiakirja
Custom Script,Mukautettu komentosarja
Please specify,Määrittele
"Hint: Include symbols, numbers and capital letters in the password","Vihje: Sisällytä salasanaan symbolit, numerot ja isot kirjaimet"
Sorry! Sharing with Website User is prohibited.,Sorry! Jakaminen sivuston käyttäjän kanssa on kielletty.
{0} reverted your point on {1},{0} palautti pisteesi {1}
&lt;head&gt; HTML,&lt;head&gt; HTML
This role update User Permissions for a user,Tämä rooli päivittää käyttäjän käyttöoikeudet käyttäjälle
Theme,Teema
Show Sidebar,Näytä sivupalkki
Default Inbox,Oletus Saapuneet-kansio
Invalid Login Token,Virheellinen kirjautumistunnus
First set the name and save the record.,Aseta ensin nimi ja tallenna se.
eye-open,eye-open
Web Link,Nettilinkki
App,Sovellus
Eg. smsgateway.com/api/send_sms.cgi,Esimerkiksi. smsgateway.com/api/send_sms.cgi
camera,kamera
Please select Minimum Password Score,Valitse Minimi salasanan pistemäärä
Please make sure that there are no empty columns in the file.,"Varmista, että tiedostossa ei ole tyhjiä sarakkeita."
Select Module,Valitse Moduuli
Submitted,toimitettu
The user from this field will be rewarded points,Tämän kentän käyttäjä saa palkintopisteitä
Last Name,Sukunimi
1 hour ago,1 tunti sitten
on_update_after_submit,on_update_after_submit
If you are updating/overwriting already created records.,Jos päivität / kirjoitat jo luotuja tietueita.
View List,Näytä luettelo
User can login using Email id or Mobile number,Käyttäjä voi kirjautua sähköpostitse tunnuksella tai matkapuhelinnumerolla
Refreshing,Virkistävä
"Enter keys to enable login via Facebook, Google, GitHub.","Syötä avaimet, jotta voit kirjautua sisään Facebookin, Googlen, GitHubin kautta."
Please select another payment method. Stripe does not support transactions in currency '{0}',Valitse toinen maksutapa. Stripe ei tue valuuttatapahtumia {0}
Not enough permission to see links,Ei riittävästi lupaa nähdä linkkejä
Add / Update,Lisää / päivitä
Please correct the,Korjaa
Top Bar Item,Top-palkki
Role Permissions Manager,Roolilupien hallinta
There were errors. Please report this.,Oli virheitä. Ilmoita tästä.
Female,Nainen
OTP Issuer Name,OTP-liikkeeseenlaskijan nimi
Add to To Do,Lisää tehtäviin
Ref DocType,Ref DocType
Permission Error,Lupavirhe
Create and manage newsletter,Luo ja hallinnoi uutiskirjettä
Repeat Till,Toista Till
File not attached,Tiedostoa ei ole liitetty
changed value of {0},muutettu arvo {0}
Create New,Luo uusi
{0} is required,{0} vaaditaan
Custom Fields can only be added to a standard DocType.,Mukautettuja kenttiä voidaan lisätä vain tavalliseen DocType-tyyppiin.
Standard roles cannot be disabled,Standardirooleja ei voi poistaa käytöstä
Checksum Version,Tarkistussumman versio
Category Description,Luokka Kuvaus
Options must be a valid DocType for field {0} in row {1},Vaihtoehtojen on oltava kelvollisen DocType-kentän kenttään {0} rivillä {1}
Next actions,Seuraavat toimet
"Filter must have 4 values (doctype, fieldname, operator, value): {0}","Suodattimessa on oltava 4 arvoa (doctype, kentänimi, operaattori, arvo): {0}"
Domain,verkkotunnuksen
Karma,karma
Rounded Corners,Pyöristetyt kulmat
Remote ID,Etätunnus
Shared with everyone,Jaettu kaikkien kanssa
Disabled,Liikuntarajoitteinen
Cannot delete {0},{0} ei voi poistaa
HTML,HTML
Linked With,Linkitetty
Name Case,Nimi Case
Error in Notification: {},Ilmoitusvirhe: {}
Gateway Settings,Yhdyskäytävän asetukset
Module Not Found,Moduulia ei löydy
Custom Role,Mukautettu rooli
View Settings,Näytä asetukset
JavaScript,JavaScript
You can't set 'Options' for field {0},Et voi asettaa kenttään {0} asetuksia.
Disable Prepared Report,Poista valmis raportti käytöstä
Export All {0} rows?,Vie kaikki {0} rivit?
star-empty,tähti tyhjä
Created On,Luotu
Half Day,Puoli päivää
Default Sending,Oletuslähetys
View document,Näytä asiakirja
Notify if unreplied for (in mins),"Ilmoita, jos vastaamatta jätetty (minuutteina)"
arrow-left,arrow-left
Starts on,Aloittaa
Set Number of Backups,Määritä varmuuskopioiden lukumäärä
Link Expired,Linkki vanhentunut
Incorrect value: {0} must be {1} {2},Virheellinen arvo: {0} on oltava {1} {2}
Yandex.Mail,Yandex.Mail
Edit Auto Email Report Settings,Muokkaa automaattisen sähköpostiraportin asetuksia
Please set filters,Aseta suodattimet
Delete this record to allow sending to this email address,"Poista tämä tieto, jotta voit lähettää tämän sähköpostiosoitteen"
Note Seen By,Huom
arrow-up,nuoli ylös
Social,sosiaalinen
Custom Fields cannot be added to core DocTypes.,Mukautettuja kenttiä ei voi lisätä ytimiin DocTypes.
Printing,painaminen
Direct,Suoraan
Send unsubscribe message in email,Lähetä tilausviesti sähköpostitse
Ignore attachments over this size,Ohita tämän kokoiset liitteet
briefcase,salkku
The resource you are looking for is not available,Etsimäsi resurssi ei ole käytettävissä
Heading,otsikko
** Failed: {0} to {1}: {2},** epäonnistui: {0} - {1}: {2}
File too big,Tiedosto on liian suuri
Select All,Valitse kaikki
Is,Onko
Data Migration,Tiedonsiirto
Reset,asettaa uudelleen
Email Addresses,Sähköpostiosoitteet
Allow saving if mandatory fields are not filled,"Salli tallennus, jos pakollisia kenttiä ei täytetä"
The first user will become the System Manager (you can change this later).,Ensimmäinen käyttäjä tulee System Manager (voit muuttaa tätä myöhemmin).
Chat,jutella
Email Domain,Sähköposti-verkkotunnus
ap-south-1,ap-etelä-1
Import Status,Tuo tila
Pages in Desk (place holders),Työpöydän sivut (paikanpitäjät)
hdd,hdd
Visit,Vierailla
"LDAP Search String needs to end with a placeholder, eg sAMAccountName={0}","LDAP-hakusarjan täytyy päättyä paikkamerkkiin, esim. SAMAccountName = {0}"
Navbar Style,Navbar-tyyli
Track Seen,Jälki nähnyt
Page Name,Sivun nimi
Knowledge Base Contributor,Tietopohja-avustaja
This document is currently queued for execution. Please try again,Tämä asiakirja on jonossa käynnissä. Yritä uudelleen
Total,Kaikki yhteensä
Property,omaisuus
Client Credentials,Asiakkaan tunnistetiedot
Ignored: {0} to {1},Ohitettu: {0} - {1}
Logged in,Kirjautunut sisään
Email Account added multiple times,Sähköpostitili lisättiin useita kertoja
eu-west-2,EU-länsi-2
Check Request URL,Tarkista pyynnön URL-osoite
