Connector Type,connector အမျိုးအစား
Property Setter overrides a standard DocType or Field property,အိမ်ခြံမြေဆိုသည်အကြောင်းတစ်ဦးစံ DOCTYPE သို့မဟုတ်ကွင်းဆင်းပိုင်ဆိုင်မှုပြောင်းလဲသတ်မှတ်လိုက်သည်
us-west-1,ကျွန်တော်တို့ကို-အနောက်ဘက်-1
Start Date Field,Start ကိုနေ့စွဲဖျော်ဖြေမှု
Every Week,အပတ်တိုင်း
"Your subscription expired on {0}. To renew, please send an email to {1}.",သင့်စာရင်းပေးသွင်းထား {0} အပေါ်ကုန်ဆုံး။ သက်တမ်းတိုးရန် {1} အီးမေးလ်ပေးပို့ပါ။
fast-forward,အစာရှောင်ခြင်း-ရှေ့ဆက်
Post Comment,post ကိုမှတ်ချက်
Restart,ပြန်စတင်သည်
Custom Base URL,custom အခြေစိုက် URL ကို
"As a best practice, do not assign the same set of permission rule to different Roles. Instead, set multiple Roles to the same User.","တစ်ဦးကိုအကောင်းဆုံးအလေ့အကျင့်သည်အတိုင်း, ကွဲပြားခြားနားသောအခန်းကဏ္ဍမှခွင့်ပြုချက်စိုးမိုးရေး၏တူညီသော set ကို assign ပါဘူး။ အဲဒီအစား, တူညီတဲ့အသုံးပြုသူမှမျိုးစုံအခန်းကဏ္ဍထားကြ၏။"
Default,ပျက်ကွက်
Permanently delete {0}?,အမြဲတမ်း {0} ဖျက်လိုက်ရမလား?
Method,နည်းလမ်း
Round Robin,round ရော်ဘင်
Image,image ကို
Now,ယခု
Editing Row,တည်းဖြတ်ခြင်း Row
"e.g. ""Support"", ""Sales"", ""Jerry Yang""","ဥပမာ &quot;ပံ့ပိုးမှု&quot;, &quot;အရောင်း&quot;, &quot;ဂျယ်ရီယန်&quot;"
Hostname,hostname
Hourly,နာရီတိုင်း
Allow field to remain editable even after submission,လယ်ပြင်ကိုတောင်တင်သွင်းခဲ့တဲ့ပြီးနောက်တည်းဖြတ်ဆက်လက် Allow
Oops! Something went wrong,သည်းခံပါ! တစ်ခုခုမှားသွားတယ်
Fieldtype,Fieldtype
DocType can not be merged,DOCTYPE ပေါင်းစည်းမရနိုငျ
Click on the link below to verify your request,သင့်ရဲ့တောငျးဆိုခကျြကိုအတည်ပြုရန်ဖို့အောက်က link ကိုကလစ်နှိပ်ပါ
Recent years are easy to guess.,မကြာသေးမီနှစ်များအတွင်းခန့်မှန်းဖို့လွယ်ကူပါတယ်။
Disable Signup,Signup disable
Remove Tag,Tag ကို Remove
Show failed jobs,Show ကိုအလုပ်အကိုင်များပျက်ကွက်
Button,ကြယ်သီး
Most Used,အများစုကအသုံးပြု
In seconds,စက္ကန့်အတွင်း
Gantt,Gantt
Help: Field Properties,အကူအညီ: ကွင်းဆင်း Properties ကို
Brand HTML,ကုန်အမှတ်တံဆိပ်က HTML
Data Import,ဒေတာများကိုတင်သွင်း
Document Type to Track,ခြေရာခံဖို့စာရွက်စာတမ်းအမျိုးအစား
Write,ရေးသား
remove-circle,ကိုဖယ်ရှား-စက်ဝိုင်း
th,ကြိမ်မြောက်
chevron-left,Chevron-လက်ဝဲ
Predictable substitutions like '@' instead of 'a' don't help very much.,အစား &#39;&#39; တစ် &#39;&#39; သိပ်မကူညီကြဘူး၏ &#39;&#39; @ &#39;&#39; နှင့်တူကိုကြိုတင်ခန့်မှန်းအစားထိုး။
Color,အရောင်
Row # ,အတန်း #
volume-up,"အသံအတိုးအကျယ်-up,"
Cancelled,ဖျက်သိမ်း
Email has been moved to trash,အီးမေးလ်ပို့ရန်အမှိုက်ရွှေ့လိုက်ပြီ
No Preview,အဘယ်သူမျှမကို Preview
Table updated,စားပွဲတင် updated
Another transaction is blocking this one. Please try again in a few seconds.,နောက်ထပ်ငွေပေးငွေယူဒီတစ်ခုပိတ်ဆို့ခြင်းသည်။ စက္ကန့်အနည်းငယ်အတွင်းထပ်ကြိုးစားပါ။
You can use wildcard %,သငျသညျသံခိတ်% ကိုသုံးနိုင်သည်
Address Line 1,လိပ်စာစာကြောင်း 1
For Document Type,စာရွက်စာတမ်းအမျိုးအစားများအတွက်
Data missing in table,table ထဲမှာပျောက်ဆုံးဒေတာများ
Could not identify {0},{0} ခွဲခြားသတ်မှတ်လို့မရပါ
This form has been modified after you have loaded it,ဤပုံစံကိုသင် loaded ပြီးနောက်ပြုပြင်လိုက်ပါက
Back to Login,နောက်ကျောဝင်မည်မှ
Not Set,Set မဟုတ်
Pull,ဆွဲပါ
Browse,Browse ကို
"Fields separated by comma (,) will be included in the ""Search By"" list of Search dialog box","ကော်မာ (,) ခြားပြီး fields ရှာရန်ပေးတဲ့ dialog box ကိုစာရင်းသည် &quot;အားဖြင့်ရှာရန်&quot; တွင်ထည့်သွင်းပါလိမ့်မည်"
Edit Custom HTML,Edit ကိုစိတ်တိုင်းကျ HTML ကို
Assignment Rule,တာဝန်ကျတဲ့စည်းမျဉ်း
Knowledge Base,Knowledge Base
Comment Email,အီးမေးလ် Comment
Mr,မစ္စတာ
Not allowed to Import,သွင်းကုန်ခွင့်မပြု
Please do not change the rows above {0},{0} အထက်တန်းမပြောင်းပါဘူးကျေးဇူးပြုပြီး
GSuite test executed with success. GSuite integration is correctly configured,အောင်မြင်မှုနှင့်အတူကွပ်မျက်ခံရ GSuite စမ်းသပ်။ GSuite ပေါင်းစည်းမှုမှန်ကန်စွာပြင်ဆင်ပြီးဖြစ်ပါသည်
Email Group,အီးမေးလ်ပို့ရန် Group မှ
Row {0}: Not allowed to disable Mandatory for standard fields,အတန်း {0}: စံလယ်ယာမသင်မနေရကို disable လုပ်ဖို့ခွင့်ပြုမ
Braintree Settings,Braintree Settings များ
Show a description below the field,လယ်ပြင်အောက်တွင်ဖော်ပြထားသောဖော်ပြချက်ပြရန်
Cannot send this email. You have crossed the sending limit of {0} emails for this day.,ဒီအီးမေးလ်ကိုမပို့နိုင်ပါ။ သငျသညျဤသည်နေ့ရက်သည် {0} အီးမေးလ်ပေးပို့န့်သတ်ချက်ကိုကူးကြပါပြီ။
fast-backward,အစာရှောင်ခြင်း-နောက်ပြန်
Copyright,မူပိုင်
Description,ဖေါ်ပြချက်
Please enable developer mode to create new connection,အသစ်ကကွန်နက်ရှင်ကိုဖန်တီးရန် developer mode ကို enable ပေးပါ
Attached To DocType,DOCTYPE စေရန်ပူးတွဲ
Deleted,Deleted
Logged Out,အထဲက Logged
Updating,မွမ်းမံနေ
Default Incoming,default ဝင်လာသော
Copy and paste this code into and empty Code.gs in your project at script.google.com,Copy ကူးခြင်းနှင့် script.google.com မှာသင့်ရဲ့စီမံကိန်းတွင် Code.gs သို့နှင့်ဗလာဒီ code ကို paste
Recurring,ထပ်တလဲလဲ
Invalid Password:,မှားနေသောစကားဝှက်:
{0} hours ago,{0} နာရီအကြာက
Expert,ကျွမ်းကျင်သူ
Single Types have only one record no tables associated. Values are stored in tabSingles,လူပျိုအမျိုးအစားများအဘယ်သူမျှမစားပွဲဆက်စပ်တစ်ဦးတည်းသာစံချိန်ရှိသည်။ တန်ဖိုးများကို tabSingles ထဲမှာသိမ်းထားပါတယ်
Clear User Permissions,Clear ကိုအသုံးပြုသူခွင့်ပြုချက်များ
