Connector Type,커넥터 유형
Please set filters value in Report Filter table.,보고서 필터 표에서 필터 값을 설정하십시오.
Run,운영
Disable Report,보고서 사용 안 함
Authenticating...,인증 중 ...
Timeline Links,타임 라인 링크
Complete By,작성자
"Sorry, you're not authorized.",죄송합니다. 권한이 없습니다.
Add Total Row,총 행 추가
Session Start Failed,세션 시작 실패
Custom HTML Help,사용자 정의 HTML 도움말
Preferred Billing Address,원하는 청구서 수신 주소
Assigned To,할당
Use Different Email Login ID,다른 이메일 로그인 ID 사용
Please setup default Email Account from Setup &gt; Email &gt; Email Account,설정&gt; 이메일&gt; 이메일 계정에서 기본 이메일 계정을 설정하십시오.
"{0}: Cannot set Submit, Cancel, Amend without Write","{0} : 제출, 취소, 쓰기없이 수정을 설정할 수 없습니다."
Socketio is not connected. Cannot upload,Socketio가 연결되지 않았습니다. 업로드 할 수 없습니다.
Write a SELECT query. Note result is not paged (all data is sent in one go).,SELECT 쿼리를 작성하십시오. 참고 결과는 페이징되지 않습니다 (모든 데이터는 한 번에 전송됩니다).
Email,이메일
Python Module,파이썬 모듈
Sender Email,발신자 이메일
Intermediate,중급
Module Name,모듈 이름
Expiration time,만료 시간
"Set default format, page size, print style etc.","기본 서식, 페이지 크기, 인쇄 스타일 등을 설정하십시오."
You cannot like something that you created,당신이 만든 무언가가 마음에 들지 않아요.
Session Expiry,세션 만료
Auto Name,자동 이름
Select Attachments,첨부 파일 선택
Please set a printer mapping for this print format in the Printer Settings,프린터 설정에서이 인쇄 형식에 대한 프린터 매핑을 설정하십시오.
Percent,퍼센트
No {0} found,{0}이 (가) 없습니다.
Country Name,나라 이름
Import Data from CSV / Excel files.,CSV / Excel 파일에서 데이터 가져 오기.
Version Updated,버전 업데이트
Allocated To,할당 된
Keep track of all update feeds,모든 업데이트 피드를 추적합니다.
Email Sync Option,이메일 동기화 옵션
"The task {0}, that you assigned to {1}, has been closed.",{1}에 할당 한 작업 {0}이 (가) 종료되었습니다.
Client URLs,클라이언트 URL
In Progress,진행 중
Links,모래밭
Email Flag Queue,이메일 깃발 대기열
Enable Automatic Backup,자동 백업 사용
{0} appreciation point for {1} {2},{0} {1} {2}의 감사 점수
envelope,봉투
Administrator,관리자
Has Role,역할 있음
If non standard port (e.g. 587),비표준 포트 (예 : 587)
No matching records. Search something new,일치하는 레코드가 없습니다. 새로운 내용 검색
System Page,시스템 페이지
Note: By default emails for failed backups are sent.,참고 : 기본적으로 실패한 백업에 대한 전자 메일이 전송됩니다.
Custom DocPerm,사용자 정의 DocPerm
Doctype to Assign Tags,태그 할당을위한 Doctype
Warehouse,창고
Dropbox Setup,보관 용 설정
Zero,제로
Add a New Role,새 역할 추가
{0} already unsubscribed for {1} {2},{0}은 (는) 이미 {1} {2}의 구독을 취소했습니다.
Editable Grid,편집 가능한 표
Export Data,데이터 내보내기
Enable / Disable Domains,도메인 활성화 / 비활성화
Website Slideshow,웹 사이트 슬라이드 쇼
Icon,상
Special Characters are not allowed,특수 문자는 허용되지 않습니다.
Remove Section,섹션 제거
Go to the document,문서로 이동
Change Label (via Custom Translation),레이블 변경 (사용자 정의 번역을 통해)
Name not set via prompt,프롬프트를 통해 이름이 설정되지 않았습니다.
Custom JS,맞춤 JS
Value,값
Base Distinguished Name (DN),기본 DN (고유 이름)
Timeline field must be a valid fieldname,타임 라인 필드는 유효한 필드 이름이어야합니다.
submitted this document,이 문서를 제출했습니다.
magnet,자석
Row Values Changed,행 값 변경됨
Value Based On,가치 기반
Search Term,검색어
Toggle Grid View,그리드보기 토글
Filter Data,데이터 필터링
Avatar,화신
A word by itself is easy to guess.,그 자체로 단어는 쉽게 추측 할 수 있습니다.
Desktop Icon already exists,바탕 화면 아이콘이 이미 있습니다.
Invalid Email: {0},잘못된 이메일 : {0}
Save As,다른 이름으로 저장
Cannot update {0},{0}을 (를) 업데이트 할 수 없습니다.
Email Unsubscribe,이메일 수신 거부
Monospace,모노 스페이스
Set User Permissions,사용자 권한 설정
Created Custom Field {0} in {1},{1}에 사용자 정의 필드 {0}이 생성되었습니다.
Tuesday,화요일
User Permission,사용자 권한
Please Update SMS Settings,SMS 설정을 업데이트하십시오.
Comments and Communications will be associated with this linked document,댓글 및 커뮤니케이션은이 링크 된 문서와 연결됩니다.
Attached To Name,첨부 이름
Steps to verify your login,로그인을 확인하는 단계
Room Type,객실 유형
Google Analytics ID,Google 애널리틱스 ID
{0} is not a raw printing format.,{0}은 원시 인쇄 형식이 아닙니다.
One Last Step,하나의 마지막 단계
Restore,복원
Example Email Address,전자 메일 주소의 예
Open,열다
Check which Documents are readable by a User,사용자가 읽을 수있는 문서 확인
Root {0} cannot be deleted,루트 {0}을 (를) 삭제할 수 없습니다.
Mobile Number,휴대 전화 번호
Invalid User Name or Support Password. Please rectify and try again.,잘못된 사용자 이름 또는 지원 암호. 수정하여 다시 시도하십시오.
Customize,사용자 정의
Year,년
Calculate,계산하다
"If you think this is unauthorized, please change the Administrator password.",권한이 없다고 생각되면 관리자 암호를 변경하십시오.
Current Status,현재 상태
Post,우편
Select atleast 1 record for printing,인쇄 할 레코드를 적어도 1 개 선택하십시오
Assigned By,배정 된 사람
[Label]:[Field Type]/[Options]:[Width],[레이블] : [필드 유형] / [옵션] : [너비]
Ctrl+Enter to add comment,Ctrl + Enter를 눌러 주석을 추가하십시오.
Field {0} is not selectable.,필드 {0}을 (를) 선택할 수 없습니다.
Birth Date,생일
With Group Indentation,그룹 들여 쓰기 사용
Disable Count,개수 비활성화
Email ID,이메일 주소
Incorrect User or Password,잘못된 사용자 또는 암호
Allow Rename,이름 바꾸기 허용
"Setup of top navigation bar, footer and logo.","상단 네비게이션 바, 꼬리말 및 로고 설정."
Address Title is mandatory.,주소 제목은 필수 항목입니다.
Must specify a Query to run,실행할 쿼리를 지정해야합니다.
Email Queue records.,전자 메일 대기열 레코드.
Nothing to update,업데이트 할 내용이 없습니다.
Please enter values for GSuite Access Key and GSuite Access Secret,GSuite 액세스 키 및 GSuite 액세스 비밀 값을 입력하십시오
Please enter valid mobile nos,유효한 모바일 번호를 입력하십시오.
Data,데이터
Your Country,귀하의 국가
This link has already been activated for verification.,이 링크는 인증을 위해 이미 활성화되었습니다.
Enter folder name,폴더 이름 입력
Followed by,뒤따라
Enter python module or select connector type,파이썬 모듈 입력 또는 커넥터 유형 선택
Block Modules,블록 모듈
Revert Of,되돌리기
Sign Up is disabled,가입이 사용 중지되었습니다.
Download Template,템플릿 다운로드
Value too big,너무 큰 가치
Image View,이미지보기
Document,문서
Custom Script,사용자 정의 스크립트
Please specify,명시 해주세요
"Hint: Include symbols, numbers and capital letters in the password","힌트 : 암호에 기호, 숫자 및 대문자를 포함하십시오."
Sorry! Sharing with Website User is prohibited.,죄송합니다! 웹 사이트 사용자와 공유하는 것은 금지되어 있습니다.
{0} reverted your point on {1},{0}이 (가) {1}에 당신의 주장을 되돌 렸습니다.
&lt;head&gt; HTML,&lt;head&gt; HTML
This role update User Permissions for a user,이 역할은 사용자에 대한 사용자 권한을 업데이트합니다.
Theme,테마
Show Sidebar,사이드 바 표시
Default Inbox,기본받은 편지함
Invalid Login Token,잘못된 로그인 토큰
First set the name and save the record.,먼저 이름을 설정하고 레코드를 저장하십시오.
eye-open,눈을 뜨게하는
Web Link,웹 링크
App,앱
Eg. smsgateway.com/api/send_sms.cgi,예 : smsgateway.com/api/send_sms.cgi
camera,카메라
Please select Minimum Password Score,최소 암호 점수를 선택하십시오.
Please make sure that there are no empty columns in the file.,파일에 빈 열이 없는지 확인하십시오.
Select Module,모듈 선택
Submitted,제출 됨
The user from this field will be rewarded points,이 필드의 사용자는 보상 포인트가됩니다.
Last Name,성
1 hour ago,1 시간 전
on_update_after_submit,on_update_after_submit
If you are updating/overwriting already created records.,이미 생성 된 레코드를 업데이트하거나 덮어 쓰는 경우.
View List,목록보기
User can login using Email id or Mobile number,사용자는 이메일 ID 또는 휴대 전화 번호를 사용하여 로그인 할 수 있습니다.
Refreshing,상쾌
"Enter keys to enable login via Facebook, Google, GitHub.","Facebook, Google, GitHub를 통한 로그인을 가능하게하는 키를 입력하십시오."
Please select another payment method. Stripe does not support transactions in currency '{0}',다른 지불 방법을 선택하십시오. Stripe은 통화 &#39;{0}&#39;의 트랜잭션을 지원하지 않습니다.
Not enough permission to see links,링크를 볼 권한이 없습니다.
Add / Update,추가 / 업데이트
Please correct the,다음을 수정하십시오.
Top Bar Item,탑 바 항목
Role Permissions Manager,역할 권한 관리자
There were errors. Please report this.,오류가있었습니다. 이것을보고하십시오.
Female,여자
OTP Issuer Name,OTP 발급자 이름
Add to To Do,할 일 목록에 추가
Ref DocType,Ref DocType
Permission Error,권한 오류
Create and manage newsletter,뉴스 레터 작성 및 관리
Repeat Till,마침내 반복하십시오.
File not attached,파일이 첨부되지 않았습니다.
changed value of {0},{0}의 변경된 값
Create New,새로 만들기
{0} is required,{0}이 (가) 필요합니다.
Custom Fields can only be added to a standard DocType.,맞춤 입력란은 표준 DocType에만 추가 할 수 있습니다.
Standard roles cannot be disabled,표준 역할을 사용 중지 할 수 없습니다.
Checksum Version,체크섬 버전
Category Description,범주 설명
Options must be a valid DocType for field {0} in row {1},옵션은 행 {1}의 {0} 필드에 유효한 DocType이어야합니다.
Next actions,다음 작업
"Filter must have 4 values (doctype, fieldname, operator, value): {0}","필터에는 4 가지 값 (doctype, fieldname, operator, value)이 있어야합니다. {0}"
Domain,도메인
Karma,업
Rounded Corners,둥근 모서리
Remote ID,원격 ID
Shared with everyone,모두와 공유
Disabled,장애인
Cannot delete {0},{0}을 (를) 삭제할 수 없습니다.
HTML,HTML
Linked With,와 연결된
Name Case,이름 케이스
Error in Notification: {},알림 오류 : {}
Gateway Settings,게이트웨이 설정
Module Not Found,모듈을 찾을 수 없음
Custom Role,사용자 지정 역할
View Settings,설정보기
JavaScript,자바 스크립트
You can't set 'Options' for field {0},필드 {0}에 대해 &#39;옵션&#39;을 설정할 수 없습니다.
Disable Prepared Report,준비 보고서 사용 안 함
Export All {0} rows?,모든 {0} 행을 내 보냅니 까?
star-empty,별이 비어있는
Created On,에 만든
Half Day,반나절
